time,open,high,low,close,tick_volume,spread,real_volume,volume
2025.05.05 07:00,20035.81,20071.58,20035.81,20061.78,4921.0,0,0,
2025.05.05 08:00,20061.56,20097.76,20059.71,20061.24,5905.0,0,0,
2025.05.05 09:00,20061.47,20069.01,20036.96,20056.72,7311.0,0,0,
2025.05.05 10:00,20056.75,20076.4,19977.2,19999.21,7888.0,0,0,
2025.05.05 11:00,19999.5,20027.46,19982.49,20011.01,7079.0,0,0,
2025.05.05 12:00,20010.46,20019.72,19981.17,20008.97,6251.0,0,0,
2025.05.05 13:00,20010.45,20018.0,19967.95,19979.99,6700.0,0,0,
2025.05.05 14:00,19981.74,20011.26,19970.01,20004.2,7963.0,0,0,
2025.05.05 15:00,20003.7,20069.46,19985.5,20052.25,15643.0,0,0,
2025.05.05 16:00,20073.26,20114.49,20009.25,20104.26,19797.0,0,0,
2025.05.05 17:00,20103.71,20123.21,20065.49,20101.99,16762.0,0,0,
2025.05.05 18:00,20101.5,20145.25,20094.25,20133.7,14238.0,0,0,
2025.05.05 19:00,20133.71,20154.25,20106.15,20143.5,13195.0,0,0,
2025.05.05 20:00,20143.01,20190.12,20138.34,20151.12,12229.0,0,0,
2025.05.05 21:00,20151.07,20153.62,20046.08,20064.82,16062.0,0,0,
2025.05.05 22:00,20065.37,20069.12,20001.83,20040.91,7724.0,0,0,
2025.05.06 00:00,20013.04,20035.97,20007.34,20016.88,2526.0,0,0,
2025.05.06 01:00,20016.58,20033.56,20005.28,20007.95,3109.0,0,0,
2025.05.06 02:00,20008.25,20028.82,19975.27,19993.04,5447.0,0,0,
2025.05.06 03:00,19992.79,20003.08,19952.25,19957.82,7187.0,0,0,
2025.05.06 04:00,19958.06,19970.71,19937.21,19954.29,5105.0,0,0,
2025.05.06 05:00,19954.24,19987.71,19931.79,19986.83,4118.0,0,0,
2025.05.06 06:00,19986.95,19991.02,19953.21,19972.27,2844.0,0,0,
2025.05.06 07:00,19972.56,19975.24,19912.28,19922.31,4746.0,0,0,
2025.05.06 08:00,19922.2,19964.21,19918.08,19960.76,5505.0,0,0,
2025.05.06 09:00,19960.99,19973.96,19892.99,19901.21,8987.0,0,0,
2025.05.06 10:00,19901.2,19908.5,19831.7,19872.22,10025.0,0,0,
2025.05.06 11:00,19872.46,19875.21,19824.46,19865.47,9132.0,0,0,
2025.05.06 12:00,19865.51,19892.51,19851.97,19892.25,7132.0,0,0,
2025.05.06 13:00,19891.19,19906.24,19805.71,19838.71,9530.0,0,0,
2025.05.06 14:00,19839.24,19853.51,19802.72,19839.95,9853.0,0,0,
2025.05.06 15:00,19839.72,19862.76,19746.96,19757.21,16717.0,0,0,
2025.05.06 16:00,19756.45,19936.5,19738.76,19905.2,19714.0,0,0,
2025.05.06 17:00,19904.01,19951.67,19885.24,19896.24,16862.0,0,0,
2025.05.06 18:00,19896.01,20025.26,19859.91,19864.0,18137.0,0,0,
2025.05.06 19:00,19866.75,19918.7,19838.4,19845.46,16496.0,0,0,
2025.05.06 20:00,19845.72,19953.88,19845.08,19953.38,15660.0,0,0,
2025.05.06 21:00,19951.08,19971.63,19870.62,19874.09,15669.0,0,0,
2025.05.06 22:00,19874.58,19903.37,19807.62,19846.17,9492.0,0,0,
2025.05.07 00:00,19805.09,20127.32,19802.81,20077.77,11733.0,0,0,
2025.05.07 01:00,20077.33,20085.27,20029.58,20066.83,6938.0,0,0,
2025.05.07 02:00,20066.52,20105.06,20005.06,20082.27,8544.0,0,0,
2025.05.07 03:00,20082.31,20105.27,20033.52,20051.58,8445.0,0,0,
2025.05.07 04:00,20051.57,20055.01,19977.06,19995.28,7595.0,0,0,
2025.05.07 05:00,19996.53,20020.75,19991.77,20001.81,5633.0,0,0,
2025.05.07 06:00,20002.01,20034.88,20000.52,20012.28,4327.0,0,0,
2025.05.07 07:00,20012.82,20014.78,19970.52,19978.28,5899.0,0,0,
2025.05.07 08:00,19978.31,20000.76,19952.46,19980.7,6928.0,0,0,
2025.05.07 09:00,19980.99,20020.26,19973.01,20013.0,8043.0,0,0,
2025.05.07 10:00,20013.01,20024.25,19969.72,20005.74,7766.0,0,0,
2025.05.07 11:00,20006.25,20017.46,19970.7,19990.01,6258.0,0,0,
2025.05.07 12:00,19989.97,20006.72,19966.47,19995.0,6176.0,0,0,
2025.05.07 13:00,19996.01,20029.45,19979.76,19995.22,6603.0,0,0,
2025.05.07 14:00,19995.21,19996.99,19907.7,19932.22,10679.0,0,0,
2025.05.07 15:00,19932.01,19943.32,19858.26,19936.15,17359.0,0,0,
2025.05.07 16:00,19935.76,19976.49,19829.47,19841.51,18353.0,0,0,
2025.05.07 17:00,19841.71,19856.25,19786.71,19849.2,19586.0,0,0,
2025.05.07 18:00,19846.21,19903.51,19805.47,19898.5,16594.0,0,0,
2025.05.07 19:00,19898.21,19924.76,19803.22,19818.49,15549.0,0,0,
2025.05.07 20:00,19816.21,19901.84,19678.62,19884.63,21967.0,0,0,
2025.05.07 21:00,19884.63,20052.86,19764.33,19947.86,21725.0,0,0,
2025.05.07 22:00,19949.37,19997.84,19914.26,19956.67,9128.0,0,0,
2025.05.08 00:00,19933.49,19955.79,19910.04,19942.32,3690.0,0,0,
2025.05.08 01:00,19942.78,19974.25,19940.28,19951.57,3662.0,0,0,
2025.05.08 02:00,19951.77,20036.08,19924.77,20026.06,7099.0,0,0,
